# feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,label
9.573856004985651369e-01,3.443675038947473510e+00,9.993042192706880211e-01,-3.439257226120159272e-01,-4.635435183315800067e+00,7.669663692981327774e-01,1.120215684990205629e+00,1.140695990973459306e+00,6.505626311426624397e-01,2.304138451600774573e+00,0.000000000000000000e+00
-1.099394192247995505e-01,-8.656970692318969318e-01,-4.648454006931771465e-01,-2.886531147277126230e+00,-8.331993562586528235e-01,1.488993191830566332e+00,-5.719155808206162206e-01,1.900265755430761150e+00,-1.094809364166979826e+00,9.988594517562059405e-01,3.000000000000000000e+00
2.289896497882480730e+00,7.520049177687693209e-02,-1.014485895199407794e+00,-2.073310067616942920e+00,8.253786803375059988e-02,1.277590087040366251e+00,-1.296596829937142425e+00,7.545398178228944763e-01,-3.187318054870731387e+00,-1.359649417118793613e+00,3.000000000000000000e+00
6.611487039005866650e-01,7.522223785834789567e-01,-1.267845127861188415e+00,-7.352572184201489058e-01,-1.085804933650484472e+00,-7.268728449054757679e-01,-1.633766962712824178e+00,1.364670887262848131e+00,-1.689581774209923282e+00,-1.107714924712934979e+00,0.000000000000000000e+00
-1.494475278695074127e+00,-1.372084625266324354e-01,-2.452924960343871419e+00,5.745645055454411398e-01,-1.217829609328829443e+00,2.450138722863429042e+00,6.600742096562720818e+00,-3.217090203772083434e+00,1.231812049700287570e+00,-5.648437057274212636e-01,2.000000000000000000e+00
2.229161819081555418e-01,-3.636300612589566494e+00,-1.161254196120458104e+00,1.385046085911254554e+00,5.866824905679687063e+00,-3.702370877938847560e+00,-3.171092174700117727e+00,-1.157019547434935403e+00,-3.195882426565280765e-01,3.347159940029403313e-01,2.000000000000000000e+00
4.260770848660416776e-01,-1.178025625671638377e+00,-2.176442394562547733e+00,-4.270634574888889645e+00,-1.250074750567433890e+00,1.105202099639599034e+00,-1.625498707003659282e+00,3.001094459645185619e+00,-2.637115987105887349e+00,-5.889434984764032599e-01,0.000000000000000000e+00
3.879730295407944229e+00,1.889060270426160537e+00,-2.924782199889781609e-01,4.878317429907524372e-01,-4.675340448007202498e-01,-6.171295710588559080e-01,-8.469737071297411823e-02,-1.127120865493011159e+00,-1.299013073864376144e+00,-9.018150245810496735e-01,0.000000000000000000e+00
4.424917685287859115e-01,-3.601131602772665197e+00,-2.657275630697333302e-01,8.431642447066167723e-01,5.557470295318187148e+00,-2.738073304525178386e+00,-2.554273044312806551e+00,-1.146865023302147124e+00,1.438745793522078209e-01,-1.231899649644736305e+00,2.000000000000000000e+00
9.196744821311395590e-01,-7.987777403863920433e-01,-2.888267911375870245e+00,-5.349431666108066530e-01,1.006798714149463869e+00,-3.729043738510201322e+00,-4.394849160793889098e+00,1.925859621906126362e+00,-2.408458316369481711e+00,-9.950629001490201020e-01,0.000000000000000000e+00
-7.650000735730837498e-01,4.262529275122298733e-01,-3.219312118355420749e-01,-1.502306762916113758e+00,-2.156554664363475204e+00,-1.643489942922092828e-01,-9.300781606764249032e-01,2.273522794673840330e+00,-1.950348553508118865e-02,-2.565193644040074661e-01,0.000000000000000000e+00
-4.829834093444140830e-01,1.151972188689376564e+00,-3.146670040450347816e-01,6.050359438514220090e-01,-2.339353958163862934e+00,6.312003326820008198e-01,3.780045963533996467e+00,-1.258579065064976410e+00,2.140755755426114959e+00,1.122686190814038643e+00,1.000000000000000000e+00
1.696663446055459712e+00,1.589186743709901872e+00,-1.698678593064558928e+00,-1.199193088337058954e+00,-3.225765392934423215e+00,1.936293994336094393e+00,4.324092590255081525e+00,-1.197323399429279345e+00,8.302118518783629941e-02,-7.465461338189601781e-01,1.000000000000000000e+00
9.261805131758197307e-01,1.302309295329665551e-01,-4.354200291345344809e-02,-1.593591352048233656e-01,-4.869310467310363766e-01,5.495140790446971790e-01,2.148274088712663232e+00,-1.141662159855864278e+00,9.906124646678217127e-01,-2.632185926321080061e-01,1.000000000000000000e+00
1.416418880532265057e+00,-2.800115127312714947e+00,1.373121267438324633e+00,-1.260704137357361532e+00,5.193008086602226570e+00,1.828162433701776113e+00,-3.019738967987424694e+00,-3.238065174862205797e-01,-3.060349824601477753e+00,1.166630339036390351e+00,3.000000000000000000e+00
-2.397320767908559525e-01,-3.011745506521623650e-01,-1.708120859404643976e+00,-2.256061633379858655e+00,-1.492638614412738818e+00,-1.139782094268988688e+00,-2.485925820264961672e+00,2.990085573797871099e+00,-1.339628546303049728e+00,-7.933013364038100645e-01,0.000000000000000000e+00
2.463892686224141038e+00,-9.131253922107478438e-01,-3.238200257872829280e+00,-4.916801527207687705e+00,-3.563390743412596429e+00,1.987401811404067464e+00,5.231483608194069213e+00,-9.765962792678495319e-03,1.009682976443255775e+00,-1.987913966499847418e-01,3.000000000000000000e+00
-1.431064965413064938e+00,-8.771106178176800716e-01,6.932829355034748620e-01,1.068136778828714384e+00,1.575942545548334017e+00,-8.344588603266179794e-01,-1.099227788981406828e+00,-1.825706566047580193e-02,5.893869341676551965e-01,-1.399430369594844015e+00,2.000000000000000000e+00
2.398414606839707197e-01,-3.081057390529322593e-01,-7.535904247597549066e-01,-1.364894567662348068e+00,2.975739423293613517e-01,8.496224618016139374e-01,-1.726584322070811472e+00,1.200834882773424983e+00,-2.490827097912355015e+00,1.591620317647579885e-01,0.000000000000000000e+00
5.844052606830382190e-01,1.851538885760070308e+00,2.586218354565916755e-02,-1.107196442252458835e-01,-2.142459786312553405e+00,-3.857149268379226337e-01,-9.254369519560159407e-01,1.218823461335452718e+00,-6.297699405072330059e-01,1.027396441830935592e+00,0.000000000000000000e+00
1.063969994155662402e-01,1.766122168805492221e+00,-9.964669109693549132e-01,6.327544805043681109e-01,-2.265864523172083533e+00,-2.060601776278993658e+00,-9.639888495774376898e-01,1.125907559796306190e+00,3.855300429059993483e-02,-1.188025323044920256e+00,0.000000000000000000e+00
2.085271940877789776e-01,-7.619269511057010780e-01,-8.253676565746246307e-01,-1.752742362518237673e+00,-1.530739557956679875e-01,6.724138727533193194e-01,-3.304516637310974114e-01,8.975614814603535274e-01,-9.565981327060741890e-01,1.213646323249607667e-01,3.000000000000000000e+00
1.823126723040957131e+00,3.849211734251619887e+00,-3.249393770030920559e-01,3.050618560669211110e+00,-2.925795120802391569e+00,-3.162590936615936155e+00,4.099614520067365042e-01,-8.528180027120488838e-01,1.196349968168200828e+00,4.775153218807331457e-01,0.000000000000000000e+00
3.224183248206629049e-01,1.092006425398325042e+00,-2.488682097146472927e+00,-2.454850091653924871e+00,-4.122337667466938527e+00,8.490323412571059158e-01,2.160440553775552885e+00,1.313734921842302894e+00,-2.880087781823156279e-01,6.816840462000994805e-02,3.000000000000000000e+00
1.058116280284810085e+00,1.680176144885288991e+00,-3.836738209500170083e-01,-1.080398649655126997e+00,-3.156472018103329891e+00,-1.642118958058907729e+00,-1.261083519493383820e+00,2.232950520281670848e+00,3.219529992681773312e-01,-1.079119885700961179e+00,0.000000000000000000e+00
